"Question 1|Toy Story|Finding Nemo"
"Question 2|Toy Story|Snow White and the Seven Dwarves"
"Question 3|Toy Story|The Incredibles"
"Question 4|Toy Story|Wall-E"
"Question 5|Toy Story|The Nightmare Before Christmas"
"Question 6|Toy Story|Finding Dory"
"Question 7|Toy Story|Winnie the Pooh"
"Question 8|Toy Story|Lilo & Stitch"
"Question 9|Toy Story|Despicable Me"
"Question 10|Toy Story|The Lion King"
"Question 11|Toy Story|Madagascar"
"Question 12|Toy Story|Toy Story 2"
"Question 13|Toy Story|How to Train Your Dragon"
"Question 14|Toy Story|Ratatouille"
"Question 15|Toy Story|Moana"
"Question 16|Toy Story|The Little Mermaid"
"Question 17|Toy Story|Frozen"
"Question 18|Toy Story|Big Hero 6"
"Question 19|Toy Story|Wreck-It Ralph"
"Question 20|Toy Story|Mulan"
"Question 21|Toy Story|Kung Fu Panda 2"
"Question 22|Toy Story|Phineas and Ferb The Movie"
"Question 23|Toy Story|Brave"
"Question 24|Toy Story|Despicable Me 2"
"Question 25|Toy Story|Penguins of Madagascar"
"Question 26|Toy Story|Meet the Robinsons"
"Question 27|Toy Story|Madagascar: Escape 2 Africa"
"Question 28|Toy Story|How the Grinch Stole Christmas"
"Question 29|Toy Story|Up"
"Question 30|Toy Story|Coco"
"Question 31|Toy Story|The Lego Movie"
"Question 32|Toy Story|Beauty and the Beast"
"Question 33|Toy Story|The Lady and the Tramp"
"Question 34|Toy Story|Tangled"
"Question 35|Toy Story|Kung Fu Panda"
"Question 36|Toy Story|Jungle Book"
"Question 37|Toy Story|Madagascar 3: Europe's Most Wanted"
"Question 38|Toy Story|Ice Age"
"Question 39|Toy Story|Happy Feet"
"Question 40|Toy Story|Rise of the Guardians"
"Question 41|Toy Story|Cinderella"
"Question 42|Toy Story|Despicable Me 3"
"Question 43|Toy Story|Polar Express"
"Question 44|Toy Story|Hotel Transylvania"
"Question 45|Toy Story|Chicken Little"
"Question 46|Toy Story|Tom and Jerry"
"Question 47|Toy Story|Toy Story 3"
"Question 48|Toy Story|Inside Out"
"Question 49|Toy Story|Monsters Inc."
"Question 50|Toy Story|The Iron Giant"
"Question 51|Toy Story|Aladdin"
"Question 52|Toy Story|How to Train Your Dragon 2"
"Question 53|Toy Story|Lego Batman"
"Question 54|Toy Story|Bolt"
